people group	Volksgruppe
people groups	Volksgruppen
unreached people group	unerreichte Volksgruppe
unreached people groups	unerreichte Volksgruppen
unengaged people group	nicht-engagierte Volksgruppe
unengaged people groups	nicht-engagierte Volksgruppen
unengaged unreached people group	unerreichte und nicht-engagierte Volksgruppe
under-engaged	unterengagiert
frontier people group	Frontier-Volksgruppe
frontier people groups	Frontier-Volksgruppen
ethnolinguistic group	ethnolinguistische Gruppe
unreached	unerreicht
unengaged	nicht-engagiert
engaged	engagiert
engagement	Engagement
fruitful engagement	fruchtbares Engagement
gospel access	Zugang zum Evangelium
gospel engagement	Engagement für das Evangelium
the gospel	das Evangelium
church-planting movement	Gemeindegründungsbewegung
church planting	Gemeindegründung
indigenous church	einheimische Gemeinde
indigenous churches	einheimische Gemeinden
self-propagating	sich selbst ausbreitend
self-governing	selbstverwaltend
self-supporting	sich selbst finanzierend
self-theologizing	selbsttheologisierend
self-missionizing	selbstmissionierend
residential engagement	Engagement vor Ort
workers in residence	Mitarbeiter vor Ort
cross-cultural workers	interkulturelle Mitarbeiter
apostolic effort	apostolischer Einsatz
pioneer work	Pionierarbeit
heart language	Muttersprache
movement to Jesus	Bewegung zu Jesus
nonresident partners	nicht-residente Partner
broader engagement	erweitertes Engagement
diaspora	Diaspora
daily prayer	tägliches Gebet
24-hour prayer coverage	24-Stunden-Gebetsabdeckung
intercessor	Fürbitter
intercessors	Fürbitter
intercessory prayer	Fürbitte
prayer points	Gebetsanliegen
daily prayer guide	täglicher Gebetsleitfaden
prayer prepares the way	Gebet bereitet den Weg
Lord of the harvest	Herr der Ernte
adopt	adoptieren
pray, give, and send	beten, geben und senden
mobilize	mobilisieren
mobilization	Mobilisierung
sending agency	Entsendeorganisation
sending agencies	Entsendeorganisationen
our gift to Jesus	unsere Gabe an Jesus
DOXA partnership missionaries	DOXA-Partnerschaftsmissionare
every tribe, tongue, people, and nation	jeder Stamm, jede Sprache, jedes Volk und jede Nation
make disciples of all the nations	macht zu Jüngern alle Völker
disciple	Jünger
disciples	Jünger
baptized disciples	getaufte Jünger
culturally appropriate	kulturell angemessen
self-sustaining churches	eigenständige Gemeinden
spiritual generations	geistliche Generationen
abide in Jesus	bleibt in Jesus
pray without ceasing	betet ohne Unterlass
deny yourself	verleugnet euch selbst
engage the regions beyond	erreicht die Gebiete darüber hinaus
Pentecostal	pfingstlich
Statement of Faith	Glaubensbekenntnis
new birth	Wiedergeburt
regeneration	Erneuerung
justification	Rechtfertigung
atonement	Sühne
sanctification	Heiligung
baptism in water	Wassertaufe
Lord's Supper	Abendmahl
baptism in the Holy Spirit	Taufe im Heiligen Geist
speaking in tongues	Zungenreden
gifts of the Holy Spirit	Gaben des Heiligen Geistes
pre-millennial return	prämillenniale Wiederkunft
bodily resurrection	leibliche Auferstehung
pray	beten
engage	engagieren
choose a people group	eine Volksgruppe wählen
sign up	anmelden
