people group	जातीय समूह
people groups	जातीय समूह
unreached people group	अगम्य जातीय समूह
unreached people groups	अगम्य जातीय समूह
unengaged people group	अप्रवेशित जातीय समूह
unengaged people groups	अप्रवेशित जातीय समूह
unengaged unreached people group	अगम्य और अप्रवेशित जातीय समूह
under-engaged	अल्प-प्रवेशित
frontier people group	सीमांत जातीय समूह
frontier people groups	सीमांत जातीय समूह
ethnolinguistic group	भाषाई-जातीय समूह
unreached	अगम्य
unengaged	अप्रवेशित
engaged	प्रवेशित
engagement	प्रवेश
fruitful engagement	फलदायक प्रवेश
gospel access	सुसमाचार तक पहुँच
gospel engagement	सुसमाचार प्रवेश
the gospel	सुसमाचार
church-planting movement	कलीसिया रोपण आंदोलन
church planting	कलीसिया रोपण
indigenous church	देशज कलीसिया
indigenous churches	देशज कलीसियाएँ
self-propagating	स्व-प्रचारक
self-governing	स्व-शासित
self-supporting	स्व-पोषित
self-theologizing	स्व-धर्मशास्त्रीय
self-missionizing	स्व-मिशनकारी
residential engagement	आवासीय प्रवेश
workers in residence	निवासी कार्यकर्ता
cross-cultural workers	अंतर-सांस्कृतिक कार्यकर्ता
apostolic effort	प्रेरितिक प्रयास
pioneer work	अग्रणी कार्य
heart language	मातृभाषा
movement to Jesus	यीशु की ओर आंदोलन
nonresident partners	अनिवासी सहभागी
broader engagement	व्यापक प्रवेश
diaspora	प्रवासी समुदाय
daily prayer	दैनिक प्रार्थना
24-hour prayer coverage	24 घंटे की प्रार्थना कवरेज
intercessor	मध्यस्थ प्रार्थनाकर्ता
intercessors	मध्यस्थ प्रार्थनाकर्ता
intercessory prayer	मध्यस्थ प्रार्थना
prayer points	प्रार्थना विषय
daily prayer guide	दैनिक प्रार्थना मार्गदर्शिका
prayer prepares the way	प्रार्थना मार्ग तैयार करती है
Lord of the harvest	कटनी का स्वामी
adopt	अपनाना
pray, give, and send	प्रार्थना करो, दो और भेजो
mobilize	गतिशील करना
mobilization	गतिशीलता
sending agency	भेजने वाली संस्था
sending agencies	भेजने वाली संस्थाएँ
our gift to Jesus	यीशु को हमारी भेंट
DOXA partnership missionaries	DOXA साझेदारी के मिशनरी
every tribe, tongue, people, and nation	हर एक कुल, भाषा, लोग और जाति
make disciples of all the nations	सब जातियों को चेला बनाओ
disciple	चेला
disciples	चेले
baptized disciples	बपतिस्मा प्राप्त चेले
culturally appropriate	सांस्कृतिक रूप से उपयुक्त
self-sustaining churches	स्वावलंबी कलीसियाएँ
spiritual generations	आत्मिक पीढ़ियाँ
abide in Jesus	यीशु में बने रहो
pray without ceasing	निरन्तर प्रार्थना करो
deny yourself	अपने आप का इन्कार करो
engage the regions beyond	परे के क्षेत्रों में सुसमाचार ले जाओ
Pentecostal	पेन्तेकोस्तल
Statement of Faith	विश्वास का वक्तव्य
new birth	नया जन्म
regeneration	नवीनीकरण
justification	धर्मीकरण
atonement	प्रायश्चित्त
sanctification	पवित्रीकरण
baptism in water	जल बपतिस्मा
Lord's Supper	प्रभु भोज
baptism in the Holy Spirit	पवित्र आत्मा का बपतिस्मा
speaking in tongues	अन्य भाषाओं में बोलना
gifts of the Holy Spirit	पवित्र आत्मा के वरदान
pre-millennial return	सहस्राब्दी-पूर्व पुनरागमन
bodily resurrection	शारीरिक पुनरुत्थान
pray	प्रार्थना करना
engage	प्रवेश करना
choose a people group	एक जातीय समूह चुनना
sign up	पंजीकरण करना
