people group	جماعة عرقية
people groups	جماعات عرقية
unreached people group	جماعة عرقية غير مُبلَّغة
unreached people groups	جماعات عرقية غير مُبلَّغة
unengaged people group	جماعة عرقية غير مُنخرَطة
unengaged people groups	جماعات عرقية غير مُنخرَطة
unengaged unreached people group	جماعة عرقية غير مُبلَّغة وغير مُنخرَطة
under-engaged	ناقصة الانخراط
frontier people group	جماعة عرقية حدودية
frontier people groups	جماعات عرقية حدودية
ethnolinguistic group	جماعة إثنولغوية
unreached	غير مُبلَّغ
unengaged	غير مُنخرَط
engaged	مُنخرَط
engagement	انخراط
fruitful engagement	انخراط مثمر
gospel access	الوصول إلى الإنجيل
gospel engagement	الانخراط بالإنجيل
the gospel	الإنجيل
church-planting movement	حركة تأسيس كنائس
church planting	تأسيس كنائس
indigenous church	كنيسة محلّية
indigenous churches	كنائس محلّية
self-propagating	ذاتي الانتشار
self-governing	ذاتي الحكم
self-supporting	ذاتي التمويل
self-theologizing	ذاتي اللاهوت
self-missionizing	ذاتي الإرسال
residential engagement	انخراط إقامي
workers in residence	عاملون مقيمون
cross-cultural workers	عاملون عابرون للثقافات
apostolic effort	جهد رسولي
pioneer work	عمل ريادي
heart language	اللغة الأم
movement to Jesus	حركة نحو يسوع
nonresident partners	شركاء غير مقيمين
broader engagement	انخراط أوسع
diaspora	شتات
daily prayer	صلاة يومية
24-hour prayer coverage	تغطية صلاة على مدار 24 ساعة
intercessor	شفيع
intercessors	شفعاء
intercessory prayer	صلاة شفاعية
prayer points	نقاط صلاة
daily prayer guide	دليل الصلاة اليومي
prayer prepares the way	الصلاة تُمهِّد الطريق
Lord of the harvest	ربّ الحصاد
adopt	تبنّي
pray, give, and send	صلّوا وقدِّموا وأرسِلوا
mobilize	تعبئة
mobilization	تعبئة
sending agency	وكالة إرسال
sending agencies	وكالات إرسال
our gift to Jesus	تقدمتنا ليسوع
DOXA partnership missionaries	مُرسَلون شركاء في DOXA
every tribe, tongue, people, and nation	كلّ قبيلة ولسان وشعب وأمّة
make disciples of all the nations	تلمِذوا جميع الأمم
disciple	تلميذ
disciples	تلاميذ
baptized disciples	تلاميذ مُعمَّدون
culturally appropriate	ملائم ثقافيًّا
self-sustaining churches	كنائس مكتفية ذاتيًّا
spiritual generations	أجيال روحية
abide in Jesus	اثبُتوا في يسوع
pray without ceasing	صلّوا بلا انقطاع
deny yourself	أنكِروا أنفسكم
engage the regions beyond	ابلُغوا المناطق الأبعد
Pentecostal	خمسيني
Statement of Faith	بيان الإيمان
new birth	الولادة الجديدة
regeneration	التجديد
justification	التبرير
atonement	الكفّارة
sanctification	التقديس
baptism in water	المعمودية بالماء
Lord's Supper	العشاء الربّاني
baptism in the Holy Spirit	المعمودية بالروح القدس
speaking in tongues	التكلّم بألسنة
gifts of the Holy Spirit	مواهب الروح القدس
pre-millennial return	الرجوع قبل الألفية
bodily resurrection	القيامة الجسدية
pray	صلّوا
engage	انخرِطوا
choose a people group	اختاروا جماعة عرقية
sign up	التسجيل
