people group	этническая группа
people groups	этнические группы
unreached people group	недостигнутая этническая группа
unreached people groups	недостигнутые этнические группы
unengaged people group	невовлечённая этническая группа
unengaged people groups	невовлечённые этнические группы
unengaged unreached people group	недостигнутая и невовлечённая этническая группа
under-engaged	недостаточно вовлечённая
frontier people group	этническая группа на передовой
frontier people groups	этнические группы на передовой
ethnolinguistic group	этнолингвистическая группа
unreached	недостигнутый
unengaged	невовлечённый
engaged	вовлечённый
engagement	вовлечение
fruitful engagement	плодотворное вовлечение
gospel access	доступ к Евангелию
gospel engagement	евангельское вовлечение
the gospel	Евангелие
church-planting movement	движение насаждения церквей
church planting	насаждение церквей
indigenous church	местная церковь
indigenous churches	местные церкви
self-propagating	самовоспроизводящийся
self-governing	самоуправляемый
self-supporting	самофинансируемый
self-theologizing	самобогословствующий
self-missionizing	самомиссионерский
residential engagement	вовлечение на месте
workers in residence	резидентные работники
cross-cultural workers	межкультурные работники
apostolic effort	апостольское служение
pioneer work	пионерское служение
heart language	родной язык
movement to Jesus	движение к Иисусу
nonresident partners	нерезидентные партнёры
broader engagement	расширенное вовлечение
diaspora	диаспора
daily prayer	ежедневная молитва
24-hour prayer coverage	круглосуточное молитвенное покрытие
intercessor	ходатай
intercessors	ходатаи
intercessory prayer	ходатайственная молитва
prayer points	молитвенные нужды
daily prayer guide	ежедневный молитвенный путеводитель
prayer prepares the way	молитва готовит путь
Lord of the harvest	Господин жатвы
adopt	взять попечение
pray, give, and send	молитесь, жертвуйте и посылайте
mobilize	мобилизовать
mobilization	мобилизация
sending agency	посылающая организация
sending agencies	посылающие организации
our gift to Jesus	наш дар Иисусу
DOXA partnership missionaries	миссионеры-партнёры DOXA
every tribe, tongue, people, and nation	всякое колено, и язык, и народ, и племя
make disciples of all the nations	научите все народы
disciple	ученик
disciples	ученики
baptized disciples	крещёные ученики
culturally appropriate	культурно адаптированный
self-sustaining churches	самостоятельные церкви
spiritual generations	духовные поколения
abide in Jesus	пребывайте в Иисусе
pray without ceasing	непрестанно молитесь
deny yourself	отвергните себя
engage the regions beyond	несите Евангелие за пределы
Pentecostal	пятидесятнический
Statement of Faith	Исповедание веры
new birth	рождение свыше
regeneration	возрождение
justification	оправдание
atonement	искупление
sanctification	освящение
baptism in water	водное крещение
Lord's Supper	Вечеря Господня
baptism in the Holy Spirit	крещение Духом Святым
speaking in tongues	говорение на иных языках
gifts of the Holy Spirit	дары Святого Духа
pre-millennial return	домилленниальное возвращение
bodily resurrection	телесное воскресение
pray	молиться
engage	вовлекать
choose a people group	выбрать этническую группу
sign up	зарегистрироваться
