people group	grup etnic
people groups	grupuri etnice
unreached people group	grup etnic neatins
unreached people groups	grupuri etnice neatinse
unengaged people group	grup etnic neangajat
unengaged people groups	grupuri etnice neangajate
unengaged unreached people group	grup etnic neatins și neangajat
under-engaged	insuficient angajat
frontier people group	grup etnic de frontieră
frontier people groups	grupuri etnice de frontieră
ethnolinguistic group	grup etnolingvistic
unreached	neatins
unengaged	neangajat
engaged	angajat
engagement	angajare
fruitful engagement	angajare rodnică
gospel access	acces la Evanghelie
gospel engagement	angajare pentru Evanghelie
the gospel	Evanghelia
church-planting movement	mișcare de plantare de biserici
church planting	plantare de biserici
indigenous church	biserică autohtonă
indigenous churches	biserici autohtone
self-propagating	autopropagator
self-governing	autoguvernat
self-supporting	autofinanțat
self-theologizing	autoteologizant
self-missionizing	automisionar
residential engagement	angajare rezidențială
workers in residence	lucrători rezidenți
cross-cultural workers	lucrători interculturali
apostolic effort	efort apostolic
pioneer work	lucrare pionieră
heart language	limba maternă
movement to Jesus	mișcare spre Isus
nonresident partners	parteneri nerezidenți
broader engagement	angajare extinsă
diaspora	diaspora
daily prayer	rugăciune zilnică
24-hour prayer coverage	acoperire de rugăciune de 24 de ore
intercessor	mijlocitor
intercessors	mijlocitori
intercessory prayer	rugăciune de mijlocire
prayer points	subiecte de rugăciune
daily prayer guide	ghid zilnic de rugăciune
prayer prepares the way	rugăciunea pregătește calea
Lord of the harvest	Stăpânul secerișului
adopt	a adopta
pray, give, and send	rugați-vă, dăruiți și trimiteți
mobilize	a mobiliza
mobilization	mobilizare
sending agency	agenție de trimitere
sending agencies	agenții de trimitere
our gift to Jesus	darul nostru pentru Isus
DOXA partnership missionaries	misionari parteneri DOXA
every tribe, tongue, people, and nation	orice seminție, orice limbă, orice popor și orice națiune
make disciples of all the nations	faceți ucenici din toate neamurile
disciple	ucenic
disciples	ucenici
baptized disciples	ucenici botezați
culturally appropriate	adaptat cultural
self-sustaining churches	biserici autonome
spiritual generations	generații spirituale
abide in Jesus	rămâneți în Isus
pray without ceasing	rugați-vă neîncetat
deny yourself	lepădați-vă de voi înșivă
engage the regions beyond	duceți Evanghelia dincolo de hotare
Pentecostal	penticostal
Statement of Faith	Declarație de credință
new birth	nașterea din nou
regeneration	regenerare
justification	justificare
atonement	ispășire
sanctification	sfințire
baptism in water	botezul în apă
Lord's Supper	Cina Domnului
baptism in the Holy Spirit	botezul în Duhul Sfânt
speaking in tongues	vorbirea în limbi
gifts of the Holy Spirit	darurile Duhului Sfânt
pre-millennial return	revenirea premilenială
bodily resurrection	învierea trupească
pray	a se ruga
engage	a angaja
choose a people group	a alege un grup etnic
sign up	a se înregistra
