people group	gruppo etnico
people groups	gruppi etnici
unreached people group	gruppo etnico non raggiunto
unreached people groups	gruppi etnici non raggiunti
unengaged people group	gruppo etnico non coinvolto
unengaged people groups	gruppi etnici non coinvolti
unengaged unreached people group	gruppo etnico non raggiunto e non coinvolto
under-engaged	sottocoinvolto
frontier people group	gruppo etnico di frontiera
frontier people groups	gruppi etnici di frontiera
ethnolinguistic group	gruppo etnolinguistico
unreached	non raggiunto
unengaged	non coinvolto
engaged	coinvolto
engagement	coinvolgimento
fruitful engagement	coinvolgimento fruttuoso
gospel access	accesso al Vangelo
gospel engagement	coinvolgimento per il Vangelo
the gospel	il Vangelo
church-planting movement	movimento di fondazione di chiese
church planting	fondazione di chiese
indigenous church	chiesa autoctona
indigenous churches	chiese autoctone
self-propagating	autopropagatrice
self-governing	autogovernata
self-supporting	autofinanziata
self-theologizing	autoteologizzante
self-missionizing	automissionaria
residential engagement	coinvolgimento residenziale
workers in residence	operatori residenti
cross-cultural workers	operatori interculturali
apostolic effort	impegno apostolico
pioneer work	lavoro pionieristico
heart language	lingua madre
movement to Jesus	movimento verso Gesù
nonresident partners	partner non residenti
broader engagement	coinvolgimento più ampio
diaspora	diaspora
daily prayer	preghiera quotidiana
24-hour prayer coverage	copertura di preghiera di 24 ore
intercessor	intercessore
intercessors	intercessori
intercessory prayer	preghiera di intercessione
prayer points	spunti di preghiera
daily prayer guide	guida di preghiera quotidiana
prayer prepares the way	la preghiera prepara la via
Lord of the harvest	Signore della messe
adopt	adottare
pray, give, and send	pregare, dare e inviare
mobilize	mobilitare
mobilization	mobilitazione
sending agency	agenzia di invio
sending agencies	agenzie di invio
our gift to Jesus	la nostra offerta a Gesù
DOXA partnership missionaries	missionari partner di DOXA
every tribe, tongue, people, and nation	ogni tribù, lingua, popolo e nazione
make disciples of all the nations	fate discepoli di tutti i popoli
disciple	discepolo
disciples	discepoli
baptized disciples	discepoli battezzati
culturally appropriate	culturalmente adeguato
self-sustaining churches	chiese autonome
spiritual generations	generazioni spirituali
abide in Jesus	dimorate in Gesù
pray without ceasing	pregate senza cessare
deny yourself	rinnegate voi stessi
engage the regions beyond	portate il Vangelo oltre
Pentecostal	pentecostale
Statement of Faith	Dichiarazione di fede
new birth	nuova nascita
regeneration	rigenerazione
justification	giustificazione
atonement	espiazione
sanctification	santificazione
baptism in water	battesimo in acqua
Lord's Supper	Santa Cena
baptism in the Holy Spirit	battesimo nello Spirito Santo
speaking in tongues	parlare in lingue
gifts of the Holy Spirit	doni dello Spirito Santo
pre-millennial return	ritorno premillenario
bodily resurrection	risurrezione corporea
pray	pregare
engage	coinvolgere
choose a people group	scegliere un gruppo etnico
sign up	iscriversi
