people group	groupe ethnique
people groups	groupes ethniques
unreached people group	groupe ethnique non-atteint
unreached people groups	groupes ethniques non-atteints
unengaged people group	groupe ethnique non-ciblé
unengaged people groups	groupes ethniques non-ciblés
unengaged unreached people group	groupe ethnique non-atteint et non-ciblé
under-engaged	sous-ciblé
frontier people group	groupe ethnique frontière
frontier people groups	groupes ethniques frontières
ethnolinguistic group	groupe ethnolinguistique
unreached	non-atteint
unengaged	non-ciblé
engaged	ciblé
engagement	engagement
fruitful engagement	engagement fructueux
gospel access	accès à l'Évangile
gospel engagement	engagement pour l'Évangile
the gospel	l'Évangile
church-planting movement	mouvement d'implantation d'églises
church planting	implantation d'églises
indigenous church	église autochtone
indigenous churches	églises autochtones
self-propagating	auto-propagateur
self-governing	autogouverné
self-supporting	autofinancé
self-theologizing	auto-théologisant
self-missionizing	auto-missionnaire
residential engagement	engagement résidentiel
workers in residence	ouvriers résidents
cross-cultural workers	ouvriers interculturels
apostolic effort	effort apostolique
pioneer work	travail pionnier
heart language	langue maternelle
movement to Jesus	mouvement vers Jésus
nonresident partners	partenaires non-résidents
broader engagement	engagement élargi
diaspora	diaspora
daily prayer	prière quotidienne
24-hour prayer coverage	couverture de prière de 24 heures
intercessor	intercesseur
intercessors	intercesseurs
intercessory prayer	prière d'intercession
prayer points	sujets de prière
daily prayer guide	guide de prière quotidien
prayer prepares the way	la prière prépare le chemin
Lord of the harvest	maître de la moisson
adopt	adopter
pray, give, and send	prier, donner et envoyer
mobilize	mobiliser
mobilization	mobilisation
sending agency	agence d'envoi
sending agencies	agences d'envoi
our gift to Jesus	notre offrande à Jésus
DOXA partnership missionaries	missionnaires partenaires de DOXA
every tribe, tongue, people, and nation	toute tribu, toute langue, tout peuple et toute nation
make disciples of all the nations	faites de toutes les nations des disciples
disciple	disciple
disciples	disciples
baptized disciples	disciples baptisés
culturally appropriate	culturellement adapté
self-sustaining churches	églises autonomes
spiritual generations	générations spirituelles
abide in Jesus	demeurez en Jésus
pray without ceasing	priez sans cesse
deny yourself	renoncez à vous-même
engage the regions beyond	portez l'Évangile au-delà
Pentecostal	pentecôtiste
Statement of Faith	Déclaration de foi
new birth	nouvelle naissance
regeneration	régénération
justification	justification
atonement	expiation
sanctification	sanctification
baptism in water	baptême d'eau
Lord's Supper	Sainte Cène
baptism in the Holy Spirit	baptême du Saint-Esprit
speaking in tongues	parler en langues
gifts of the Holy Spirit	dons du Saint-Esprit
pre-millennial return	retour prémillénaire
bodily resurrection	résurrection corporelle
pray	prier
engage	engager
World Assemblies of God Fellowship	fraternité mondiale des Assemblées de Dieu
choose a people group	choisir un groupe ethnique
sign up	s'inscrire
