people group	grupo étnico
people groups	grupos étnicos
unreached people group	grupo étnico no alcanzado
unreached people groups	grupos étnicos no alcanzados
unengaged people group	grupo étnico no comprometido
unengaged people groups	grupos étnicos no comprometidos
unengaged unreached people group	grupo étnico no alcanzado y no comprometido
under-engaged	subcomprometido
frontier people group	grupo étnico frontera
frontier people groups	grupos étnicos frontera
ethnolinguistic group	grupo etnolingüístico
unreached	no alcanzado
unengaged	no comprometido
engaged	comprometido
engagement	compromiso
fruitful engagement	compromiso fructífero
gospel access	acceso al Evangelio
gospel engagement	compromiso con el Evangelio
the gospel	el Evangelio
church-planting movement	movimiento de plantación de iglesias
church planting	plantación de iglesias
indigenous church	iglesia autóctona
indigenous churches	iglesias autóctonas
self-propagating	autopropagador
self-governing	autogobernado
self-supporting	autofinanciado
self-theologizing	autoteologizante
self-missionizing	automisionero
residential engagement	compromiso residencial
workers in residence	obreros residentes
cross-cultural workers	obreros transculturales
apostolic effort	esfuerzo apostólico
pioneer work	trabajo pionero
heart language	lengua materna
movement to Jesus	movimiento hacia Jesús
nonresident partners	socios no residentes
broader engagement	compromiso ampliado
diaspora	diáspora
daily prayer	oración diaria
24-hour prayer coverage	cobertura de oración de 24 horas
intercessor	intercesor
intercessors	intercesores
intercessory prayer	oración de intercesión
prayer points	motivos de oración
daily prayer guide	guía de oración diaria
prayer prepares the way	la oración prepara el camino
Lord of the harvest	Señor de la cosecha
adopt	adoptar
pray, give, and send	orar, dar y enviar
mobilize	movilizar
mobilization	movilización
sending agency	agencia de envío
sending agencies	agencias de envío
our gift to Jesus	nuestra ofrenda a Jesús
DOXA partnership missionaries	misioneros asociados de DOXA
every tribe, tongue, people, and nation	toda tribu, lengua, pueblo y nación
make disciples of all the nations	hagan discípulos de todas las naciones
disciple	discípulo
disciples	discípulos
baptized disciples	discípulos bautizados
culturally appropriate	culturalmente apropiado
self-sustaining churches	iglesias autosostenibles
spiritual generations	generaciones espirituales
abide in Jesus	permanezcan en Jesús
pray without ceasing	oren sin cesar
deny yourself	niéguense a sí mismos
engage the regions beyond	alcanzar las regiones de más allá
Pentecostal	pentecostal
Statement of Faith	Declaración de fe
new birth	nuevo nacimiento
regeneration	regeneración
justification	justificación
atonement	expiación
sanctification	santificación
baptism in water	bautismo en agua
Lord's Supper	Santa Cena
baptism in the Holy Spirit	bautismo en el Espíritu Santo
speaking in tongues	hablar en lenguas
gifts of the Holy Spirit	dones del Espíritu Santo
pre-millennial return	retorno premilenial
bodily resurrection	resurrección corporal
pray	orar
engage	comprometer
UUPG	PNANC
World Assemblies of God Fellowship	Fraternidad Mundial de las Asambleas de Dios
choose a people group	elegir un grupo étnico
sign up	registrarse
