people group	grupo étnico
people groups	grupos étnicos
unreached people group	grupo étnico não alcançado
unreached people groups	grupos étnicos não alcançados
unengaged people group	grupo étnico não engajado
unengaged people groups	grupos étnicos não engajados
unengaged unreached people group	grupo étnico não alcançado e não engajado
under-engaged	subengajado
frontier people group	grupo étnico de fronteira
frontier people groups	grupos étnicos de fronteira
ethnolinguistic group	grupo etnolinguístico
unreached	não alcançado
unengaged	não engajado
engaged	engajado
engagement	engajamento
fruitful engagement	engajamento frutífero
gospel access	acesso ao Evangelho
gospel engagement	engajamento com o Evangelho
the gospel	o Evangelho
church-planting movement	movimento de plantação de igrejas
church planting	plantação de igrejas
indigenous church	igreja autóctona
indigenous churches	igrejas autóctones
self-propagating	autopropagador
self-governing	autogovernado
self-supporting	autofinanciado
self-theologizing	autoteologizante
self-missionizing	automissionário
residential engagement	engajamento residencial
workers in residence	obreiros residentes
cross-cultural workers	obreiros transculturais
apostolic effort	esforço apostólico
pioneer work	trabalho pioneiro
heart language	língua materna
movement to Jesus	movimento em direção a Jesus
nonresident partners	parceiros não residentes
broader engagement	engajamento ampliado
diaspora	diáspora
daily prayer	oração diária
24-hour prayer coverage	cobertura de oração de 24 horas
intercessor	intercessor
intercessors	intercessores
intercessory prayer	oração intercessória
prayer points	motivos de oração
daily prayer guide	guia de oração diário
prayer prepares the way	a oração prepara o caminho
Lord of the harvest	Senhor da seara
adopt	adotar
pray, give, and send	orar, contribuir e enviar
mobilize	mobilizar
mobilization	mobilização
sending agency	agência de envio
sending agencies	agências de envio
our gift to Jesus	nossa oferta a Jesus
DOXA partnership missionaries	missionários parceiros da DOXA
every tribe, tongue, people, and nation	toda tribo, língua, povo e nação
make disciples of all the nations	façam discípulos de todas as nações
disciple	discípulo
disciples	discípulos
baptized disciples	discípulos batizados
culturally appropriate	culturalmente apropriado
self-sustaining churches	igrejas autossustentáveis
spiritual generations	gerações espirituais
abide in Jesus	permaneçam em Jesus
pray without ceasing	orem sem cessar
deny yourself	neguem a si mesmos
engage the regions beyond	alcancem as regiões mais além
Pentecostal	pentecostal
Statement of Faith	Declaração de fé
new birth	novo nascimento
regeneration	regeneração
justification	justificação
atonement	expiação
sanctification	santificação
baptism in water	batismo nas águas
Lord's Supper	Santa Ceia
baptism in the Holy Spirit	batismo no Espírito Santo
speaking in tongues	falar em línguas
gifts of the Holy Spirit	dons do Espírito Santo
pre-millennial return	retorno pré-milenial
bodily resurrection	ressurreição corporal
pray	orar
engage	engajar
World Assemblies of God Fellowship	Comunhão das Assembléias de Deus Mundial
choose a people group	escolher um grupo étnico
sign up	inscrever-se
