people group	族群
people groups	族群
unreached people group	未得之民
unreached people groups	未得之民
unengaged people group	未接触族群
unengaged people groups	未接触族群
unengaged unreached people group	未接触未得之民
under-engaged	接触不足的
frontier people group	前沿族群
frontier people groups	前沿族群
ethnolinguistic group	民族语言群体
unreached	未得的
unengaged	未接触的
engaged	已接触的
engagement	接触
fruitful engagement	有果效的接触
gospel access	福音可及性
gospel engagement	福音接触
the gospel	福音
church-planting movement	植堂运动
church planting	植堂
indigenous church	本土教会
indigenous churches	本土教会
self-propagating	自传的
self-governing	自治的
self-supporting	自养的
self-theologizing	自我神学建构的
self-missionizing	自我差传的
residential engagement	驻地接触
workers in residence	驻地工人
cross-cultural workers	跨文化工人
apostolic effort	使徒性开拓
pioneer work	先锋事工
heart language	母语
movement to Jesus	归主运动
nonresident partners	非驻地伙伴
broader engagement	广义接触
diaspora	散居群体
daily prayer	每日祷告
24-hour prayer coverage	全天候祷告覆盖
intercessor	代祷者
intercessors	代祷者
intercessory prayer	代祷
prayer points	祷告事项
daily prayer guide	每日祷告指南
prayer prepares the way	祷告预备道路
Lord of the harvest	庄稼的主
adopt	认领
pray, give, and send	祷告、奉献、差派
mobilize	动员
mobilization	动员
sending agency	差传机构
sending agencies	差传机构
our gift to Jesus	我们献给耶稣的礼物
DOXA partnership missionaries	DOXA伙伴宣教士
every tribe, tongue, people, and nation	各族、各方、各民、各国
make disciples of all the nations	使万民作主的门徒
disciple	门徒
disciples	门徒
baptized disciples	受洗门徒
culturally appropriate	合乎文化的
self-sustaining churches	自立教会
spiritual generations	属灵世代
abide in Jesus	常在主里面
pray without ceasing	不住地祷告
deny yourself	舍己
engage the regions beyond	进入未及之地
Pentecostal	五旬节派
Statement of Faith	信仰宣言
new birth	重生
regeneration	更新
justification	称义
atonement	赎罪
sanctification	成圣
baptism in water	水的洗礼
Lord's Supper	圣餐
baptism in the Holy Spirit	圣灵的洗
speaking in tongues	说方言
gifts of the Holy Spirit	圣灵的恩赐
pre-millennial return	千禧年前再来
bodily resurrection	身体复活
pray	祷告
engage	接触
choose a people group	选择一个族群
sign up	注册
